rank,candidate_id,theme,research_question,ssdse,external_data,unit,main_design,social_value,data_feasibility,originality,design_strength,policy_value,workload_feasibility,total,status,past_award_overlap
1,T02,再エネ導入ポテンシャル実現ギャップ,"同程度の再エネ資源を持つ自治体間で導入率に差が生じる構造条件は何か",A・E,環境省REPOS・自治体排出量カルテ,市区町村×年度×電源種,導入量/ポテンシャル比・パネル成長率・類型化・分数回帰,5,5,4,5,5,4,28,最優先,CO2類型化は既出だが導入ギャップは未確認
2,T01,猛暑下の熱中症搬送リスク,"同じ暑さでも高齢化・単身高齢世帯・医療資源により搬送率や重症化率はどう変わるか",B・E・F,消防庁熱中症搬送日次データ・気象庁日別観測,都道府県×日×年齢層,負の二項回帰・非線形温度応答・固定効果・交互作用,5,5,4,5,5,4,28,最優先,2023高校生奨励賞に熱中症研究あり・日次パネルと非線形脆弱性で差別化
3,T03,高齢者の食料品アクセス困難,"買物困難高齢者が多い自治体を生む人口・世帯・商業・空間構造の組合せは何か",A,農林水産政策研究所食料品アクセスマップ・国土数値情報バス停,市区町村,空間回帰・非線形モデル・脆弱性類型化,5,5,5,4,5,3,27,最優先,直接重複なし
4,T04,自治体DXの構造的格差,"自治体の人的・財政的・地域的条件はDX進捗とオンライン申請率をどの程度制約するか",A,デジタル庁自治体DXデータテーブル,市区町村×年度,潜在DX指数・順序モデル・階層モデル・類似自治体比較,5,5,4,4,5,3,26,有力予備,2022高校生奨励賞に地方自治DX研究あり・自治体別実績指標で差別化
5,T05,高齢者の公共交通・医療アクセス,"高齢化が進む地域でバス停と医療機関への空間的アクセスが最も不足する自治体はどこか",A,国土数値情報バス停・バスルート・医療機関・人口メッシュ,メッシュ→市区町村,ネットワーク近接性・空間クラスタ・需要供給比,5,4,5,4,5,3,26,有力予備,医師偏在は既出だが交通アクセス統合は未確認
6,T06,洪水時の高齢単身世帯脆弱性,"浸水想定区域に居住する高齢単身世帯と避難・医療資源の地域的ミスマッチはどこにあるか",A,国土数値情報洪水浸水想定区域・避難施設・人口メッシュ,メッシュ→市区町村,空間オーバーレイ・脆弱性指数・感度分析,5,4,5,4,5,3,26,有力予備,直接重複なし
7,T07,観光成長と一般廃棄物負荷,"宿泊者増加は地域住民1人当たりごみ排出量とリサイクル率にどの程度影響するか",B,観光庁宿泊旅行統計,都道府県×年,都道府県・年固定効果・イベント期比較・異質性分析,4,5,4,5,5,3,26,有力予備,観光とごみは別々に既出
8,T08,住宅供給構成と若年人口移動,"持家・貸家・分譲住宅の供給構成は若年層を地域に引き付けるか",B,住民基本台帳人口移動報告・住宅土地統計,都道府県×年×年齢層,パネル固定効果・分布ラグ・地域異質性,5,4,4,5,5,3,26,有力予備,住宅価格と人口移動は既出だが供給構成は未確認
9,T09,ジェンダー時間貧困とリスキリング,"家事・育児時間の男女差は女性の学習・自己啓発参加をどの程度阻害するか",D,社会生活基本調査詳細表・就業構造基本調査,都道府県×男女×属性,媒介仮説・階層回帰・構成差調整,5,5,5,4,5,2,26,有力予備,女性進出は既出だが時間配分と学習の接続は未確認
10,T10,学校縮小と教育アクセス,"児童生徒減少に対する学校統廃合の速度と教育アクセスの地域差は適切か",A,学校基本調査・国土数値情報学校・人口メッシュ,市区町村×時点,学校当たり児童数・距離指標・類型化・境界比較,5,4,4,4,5,3,25,候補,教育要因は多数あるが統廃合アクセスは未確認
